"area","region"
"Afghanistan","ASIA (EX. NEAR EAST)         "
"Albania","EASTERN EUROPE                     "
"Algeria","NORTHERN AFRICA                    "
"Angola","SUB-SAHARAN AFRICA                 "
"Antigua and Barbuda","LATIN AMER. & CARIB    "
"Argentina","LATIN AMER. & CARIB    "
"Armenia","C.W. OF IND. STATES "
"Australia","OCEANIA                            "
"Austria","WESTERN EUROPE                     "
"Azerbaijan","C.W. OF IND. STATES "
"Bahamas","LATIN AMER. & CARIB    "
"Bangladesh","ASIA (EX. NEAR EAST)         "
"Barbados","LATIN AMER. & CARIB    "
"Belarus","C.W. OF IND. STATES "
"Belgium","WESTERN EUROPE                     "
"Belize","LATIN AMER. & CARIB    "
"Benin","SUB-SAHARAN AFRICA                 "
"Bermuda","NORTHERN AMERICA                   "
"Bolivia (Plurinational State of)","LATIN AMER. & CARIB    "
"Bosnia and Herzegovina","EASTERN EUROPE                     "
"Botswana","SUB-SAHARAN AFRICA                 "
"Brazil","LATIN AMER. & CARIB    "
"Brunei Darussalam","ASIA (EX. NEAR EAST)         "
"Bulgaria","EASTERN EUROPE                     "
"Burkina Faso","SUB-SAHARAN AFRICA                 "
"Cabo Verde","SUB-SAHARAN AFRICA                 "
"Cambodia","ASIA (EX. NEAR EAST)         "
"Cameroon","SUB-SAHARAN AFRICA                 "
"Canada","NORTHERN AMERICA                   "
"Central African Republic","SUB-SAHARAN AFRICA                 "
"Chad","SUB-SAHARAN AFRICA                 "
"Chile","LATIN AMER. & CARIB    "
"China, Hong Kong SAR","ASIA (EX. NEAR EAST)         "
"China, Macao SAR","ASIA (EX. NEAR EAST)         "
"China, mainland","ASIA (EX. NEAR EAST)         "
"China, Taiwan Province of","ASIA (EX. NEAR EAST)         "
"Colombia","LATIN AMER. & CARIB    "
"Congo","SUB-SAHARAN AFRICA                 "
"Costa Rica","LATIN AMER. & CARIB    "
"C̫te d'Ivoire","SUB-SAHARAN AFRICA                 "
"Croatia","EASTERN EUROPE                     "
"Cuba","LATIN AMER. & CARIB    "
"Cyprus","NEAR EAST                          "
"Czechia","EASTERN EUROPE                     "
"Democratic People's Republic of Korea","ASIA (EX. NEAR EAST)         "
"Denmark","WESTERN EUROPE                     "
"Djibouti","SUB-SAHARAN AFRICA                 "
"Dominica","LATIN AMER. & CARIB    "
"Dominican Republic","LATIN AMER. & CARIB    "
"Ecuador","LATIN AMER. & CARIB    "
"Egypt","NORTHERN AFRICA                    "
"El Salvador","LATIN AMER. & CARIB    "
"Estonia","BALTICS                            "
"Ethiopia","SUB-SAHARAN AFRICA                 "
"Fiji","OCEANIA                            "
"Finland","WESTERN EUROPE                     "
"France","WESTERN EUROPE                     "
"French Polynesia","OCEANIA                            "
"Gabon","SUB-SAHARAN AFRICA                 "
"Gambia","SUB-SAHARAN AFRICA                 "
"Georgia","C.W. OF IND. STATES "
"Germany","WESTERN EUROPE                     "
"Ghana","SUB-SAHARAN AFRICA                 "
"Greece","WESTERN EUROPE                     "
"Grenada","LATIN AMER. & CARIB    "
"Guatemala","LATIN AMER. & CARIB    "
"Guinea","SUB-SAHARAN AFRICA                 "
"Guinea-Bissau","SUB-SAHARAN AFRICA                 "
"Guyana","LATIN AMER. & CARIB    "
"Haiti","LATIN AMER. & CARIB    "
"Honduras","LATIN AMER. & CARIB    "
"Hungary","EASTERN EUROPE                     "
"Iceland","WESTERN EUROPE                     "
"India","ASIA (EX. NEAR EAST)         "
"Indonesia","ASIA (EX. NEAR EAST)         "
"Iran (Islamic Republic of)","NEAR EAST                          "
"Iraq","NEAR EAST                          "
"Ireland","WESTERN EUROPE                     "
"Israel","NEAR EAST                          "
"Italy","WESTERN EUROPE                     "
"Jamaica","LATIN AMER. & CARIB    "
"Japan","ASIA (EX. NEAR EAST)         "
"Jordan","NEAR EAST                          "
"Kazakhstan","C.W. OF IND. STATES "
"Kenya","SUB-SAHARAN AFRICA                 "
"Kiribati","OCEANIA                            "
"Kuwait","NEAR EAST                          "
"Kyrgyzstan","C.W. OF IND. STATES "
"Lao People's Democratic Republic","ASIA (EX. NEAR EAST)         "
"Latvia","BALTICS                            "
"Lebanon","NEAR EAST                          "
"Lesotho","SUB-SAHARAN AFRICA                 "
"Liberia","SUB-SAHARAN AFRICA                 "
"Lithuania","BALTICS                            "
"Luxembourg","WESTERN EUROPE                     "
"Madagascar","SUB-SAHARAN AFRICA                 "
"Malawi","SUB-SAHARAN AFRICA                 "
"Malaysia","ASIA (EX. NEAR EAST)         "
"Maldives","ASIA (EX. NEAR EAST)         "
"Mali","SUB-SAHARAN AFRICA                 "
"Malta","WESTERN EUROPE                     "
"Mauritania","SUB-SAHARAN AFRICA                 "
"Mauritius","SUB-SAHARAN AFRICA                 "
"Mexico","LATIN AMER. & CARIB    "
"Mongolia","ASIA (EX. NEAR EAST)         "
"Montenegro","EASTERN EUROPE                     "
"Morocco","NORTHERN AFRICA                    "
"Mozambique","SUB-SAHARAN AFRICA                 "
"Myanmar","ASIA (EX. NEAR EAST)         "
"Namibia","SUB-SAHARAN AFRICA                 "
"Nepal","ASIA (EX. NEAR EAST)         "
"Netherlands","WESTERN EUROPE                     "
"New Caledonia","OCEANIA                            "
"New Zealand","OCEANIA                            "
"Nicaragua","LATIN AMER. & CARIB    "
"Niger","SUB-SAHARAN AFRICA                 "
"Nigeria","SUB-SAHARAN AFRICA                 "
"Norway","WESTERN EUROPE                     "
"Oman","NEAR EAST                          "
"Pakistan","ASIA (EX. NEAR EAST)         "
"Panama","LATIN AMER. & CARIB    "
"Paraguay","LATIN AMER. & CARIB    "
"Peru","LATIN AMER. & CARIB    "
"Philippines","ASIA (EX. NEAR EAST)         "
"Poland","EASTERN EUROPE                     "
"Portugal","WESTERN EUROPE                     "
"Republic of Korea","ASIA (EX. NEAR EAST)         "
"Republic of Moldova","C.W. OF IND. STATES "
"Romania","EASTERN EUROPE                     "
"Russian Federation","C.W. OF IND. STATES "
"Rwanda","SUB-SAHARAN AFRICA                 "
"Saint Kitts and Nevis","LATIN AMER. & CARIB    "
"Saint Lucia","LATIN AMER. & CARIB    "
"Saint Vincent and the Grenadines","LATIN AMER. & CARIB    "
"Samoa","OCEANIA                            "
"Sao Tome and Principe","SUB-SAHARAN AFRICA                 "
"Saudi Arabia","NEAR EAST                          "
"Senegal","SUB-SAHARAN AFRICA                 "
"Serbia","EASTERN EUROPE                     "
"Sierra Leone","SUB-SAHARAN AFRICA                 "
"Slovakia","EASTERN EUROPE                     "
"Slovenia","EASTERN EUROPE                     "
"Solomon Islands","OCEANIA                            "
"South Africa","SUB-SAHARAN AFRICA                 "
"Spain","WESTERN EUROPE                     "
"Sri Lanka","ASIA (EX. NEAR EAST)         "
"Sudan","SUB-SAHARAN AFRICA                 "
"Suriname","LATIN AMER. & CARIB    "
"Swaziland","SUB-SAHARAN AFRICA                 "
"Sweden","WESTERN EUROPE                     "
"Switzerland","WESTERN EUROPE                     "
"Tajikistan","C.W. OF IND. STATES "
"Thailand","ASIA (EX. NEAR EAST)         "
"The former Yugoslav Republic of Macedonia","EASTERN EUROPE                     "
"Timor-Leste","ASIA (EX. NEAR EAST)         "
"Togo","SUB-SAHARAN AFRICA                 "
"Trinidad and Tobago","LATIN AMER. & CARIB    "
"Tunisia","NORTHERN AFRICA                    "
"Turkey","NEAR EAST                          "
"Turkmenistan","C.W. OF IND. STATES "
"Uganda","SUB-SAHARAN AFRICA                 "
"Ukraine","C.W. OF IND. STATES "
"United Arab Emirates","NEAR EAST                          "
"United Kingdom","WESTERN EUROPE                     "
"United Republic of Tanzania","SUB-SAHARAN AFRICA                 "
"United States of America","NORTHERN AMERICA                   "
"Uruguay","LATIN AMER. & CARIB    "
"Uzbekistan","C.W. OF IND. STATES "
"Vanuatu","OCEANIA                            "
"Venezuela (Bolivarian Republic of)","LATIN AMER. & CARIB    "
"Viet Nam","ASIA (EX. NEAR EAST)         "
"Yemen","NEAR EAST                          "
"Zambia","SUB-SAHARAN AFRICA                 "
"Zimbabwe","SUB-SAHARAN AFRICA                 "
